Date,1540-price,1540-nav,1540-dev,1541-price,1541-nav,1541-dev,1542-price,1542-nav,1542-dev,1543-price,1543-nav,1543-dev
2023/06/22,8365,8348.09,0.20,4025,4043.93,-0.47,9336,9523.1,-1.96,56890,58871.42,-3.37
2023/06/23,8386,8363.14,0.27,3970,4008.63,-0.96,9327,9520.17,-2.03,55100,58843.12,-6.36
2023/06/26,8431,8411.1,0.24,4045,4053.9,-0.22,9464,9817.87,-3.60,55080,56063.4,-1.75
2023/06/27,8432,8420.47,0.14,4030,4070.53,-1.00,9549,9818.66,-2.75,56600,56070.75,0.94
2023/06/28,8418,8401.45,0.20,3995,4035.24,-1.00,9548,9779.51,-2.37,55190,56063.49,-1.56
2023/06/29,8406,8380.54,0.30,3990,4040.74,-1.26,9489,9776.59,-2.94,54550,56089.11,-2.74
2023/06/30,8417,8395.59,0.26,3950,3978.56,-0.72,9448,9774.59,-3.34,54450,56085.5,-2.92
2023/07/03,8451,8425.56,0.30,3960,3977.43,-0.44,9563,9773.12,-2.15,53400,56080.42,-4.78
2023/07/04,8498,8467.07,0.37,4005,4037.61,-0.81,9604,9632.82,-0.30,53980,56073.17,-3.73
2023/07/05,8505,8468.87,0.43,4005,4043.12,-0.94,9600,9891.66,-2.95,53570,56054.04,-4.43
2023/07/06,8432,8400.68,0.37,3960,4017.11,-1.42,9673,9890.59,-2.20,53550,56038.58,-4.44
2023/07/07,8407,8368.44,0.46,3920,3975.34,-1.39,9492,9891.38,-4.04,53520,54207.7,-1.27
2023/07/10,8385,8335.05,0.60,3925,3954.78,-0.75,9510,9717.37,-2.13,53040,54138.55,-2.03
2023/07/11,8311,8283.89,0.33,3965,4028.87,-1.59,9497,9717.23,-2.27,52570,53221.34,-1.22
2023/07/12,8258,8238.41,0.24,3935,3989.89,-1.38,9457,9717.09,-2.68,52190,53221.42,-1.94
2023/07/13,8297,8276.14,0.25,4000,4053.78,-1.33,9717,9953.66,-2.38,53300,53193.22,0.20
2023/07/14,8260,8225.93,0.41,4010,4086.17,-1.86,9873,10209.71,-3.30,52550,53183.26,-1.19
2023/07/18,8285,8263.39,0.26,4070,4152.66,-1.99,9956,10235.12,-2.73,52740,53230.16,-0.92
2023/07/19,8395,8394.75,0.00,4090,4174.85,-2.03,10050,10328.73,-2.70,53420,53185.52,0.44
2023/07/20,8408,8407.89,0.00,4040,4120.11,-1.94,10110,10328.58,-2.12,53430,53185.6,0.46
2023/07/21,8409,8409.69,-0.01,4025,4099.66,-1.82,9995,10161.35,-1.64,53150,53182.02,-0.06
2023/07/24,8440,8436.83,0.04,4050,4157.87,-2.59,9968,10160.91,-1.90,53310,53181.34,0.24
2023/07/25,8438,8440.52,-0.03,4065,4164.3,-2.38,9980,10208.11,-2.23,53500,53167.73,0.62
2023/07/26,8434,8430.02,0.05,4045,4148.49,-2.49,9921,10342.56,-4.08,53380,53165.98,0.40
2023/07/27,8436,8421.41,0.17,4035,4136.38,-2.45,10015,10335.91,-3.10,52620,53149.63,-1.00
2023/07/28,8298,8258.66,0.48,3935,3990.81,-1.40,9697,10129.69,-4.27,51390,53109.55,-3.24
2023/07/31,8436,8424.83,0.13,3945,4010.1,-1.62,9850,10084.7,-2.33,51900,53060.5,-2.19
2023/08/01,8495,8490.91,0.05,4005,4116.59,-2.71,10030,10082.57,-0.52,53040,53021.55,0.03
2023/08/02,8468,8458.67,0.11,3970,4047.06,-1.90,9936,10221.59,-2.79,52530,53022.54,-0.93
2023/08/03,8440,8447.23,-0.09,3955,4040.51,-2.12,9824,9970.94,-1.47,52410,53030.83,-1.17
2023/08/04,8398,8384.74,0.16,3925,3987.65,-1.57,9737,9973.58,-2.37,52780,53039.12,-0.49
2023/08/07,8382,8381.62,0.00,3945,4022.68,-1.93,9715,9965.73,-2.52,52570,53041.18,-0.89
2023/08/08,8422,8416.51,0.07,3940,4013.36,-1.83,9632,9903.42,-2.74,52310,53071.37,-1.43
